編號,序號,事業單位統一編號,事業單位,行業別,災害類型,罹災人數（數量）,業主,業主統一編號,工程名稱,場所（肇災處）,縣市,地址,勞動檢查機構,年度,發生日期,是否顯示於地圖,agencyCode
184,9,70849008,大發管材工業股份有限公司中港分公司,C製造業(塑膠皮、板及管材製造業),物體倒塌、崩塌,1,大發管材工業股份有限公司中港分公司,70849008,,臺中市梧棲區緯六路8號,2272,臺中市梧棲區緯六路8號,經濟部加工出口區管理處,2023,2023-06-22,是,10
185,10,,交通部公路局東區養護工程分局,F營造業(道路工程業),被撞,1,,,頭城工務段 112 年度 預約經常性交通設施維護工程,台9線蘭陽大橋南端橋下涵洞外(宜22線2K+100),2283,蘭陽大橋橋下,勞動部職業安全衛生署北區職業安全衛生中心,2023,2023-06-21,是,01
186,11,27427632,中聯資源股份有限公司,C製造業(未分類其他非金屬礦物製品製造業),物體倒塌、崩塌,1,,,中聯資源股份有限公司南部研磨廠A工場二線儲料桶積料清除作業,中聯資源股份有限公司,2279,小港區朝興路2號,高雄市政府勞工局勞動檢查處,2023,2023-06-21,是,09
187,12,,Deeprock C.V.,C製造業(產業用機械設備維修及安裝業),溺斃,1,,,海馬輪船底水閘門附著物清除工程,臺南市安平區安平港21號碼頭,2278,,勞動部職業安全衛生署南區職業安全衛生中心,2023,2023-06-20,否,03
188,13,,林○○(自營作業者),F營造業(建物完工裝修工程業),墜落、滾落,1,張○○,,屋頂漏水修繕作業,臺中市大肚區興和路55號,,,臺中市勞動檢查處,2023,2023-06-20,否,07
189,14,,交通部高速公路局中區養護工程分局,O公共行政及國防；強制性社會安全(政府機關),公路交通事故,2,,,中分局一般勞務作業工作112年至113年-大甲,,,,勞動部職業安全衛生署中區職業安全衛生中心,2023,2023-06-19,否,02
190,15,33095647,光暉瓦斯有限公司,G批發及零售業(其他燃料及相關產品零售業),火災,1,-,-,-,新北市板橋區中正路229號1樓,2266,新北市板橋區中正路229號1樓,新北市政府勞動檢查處,2023,2023-06-16,是,05
191,16,22132814,德昌營造股份有限公司,F營造業(建築工程業),物體飛落,1,財團法人中國醫藥大學,52005408,臺中市立老人復健綜合醫院新建營運移轉案委託財團法人中國醫藥大學興建經營-老人暨綜合醫學中心結構體本體新建工程,C區B3層,2272,臺中市北屯區太原路3段與建和路1段口,臺中市勞動檢查處,2023,2023-06-16,是,07
192,17,,澄拓營造有限公司,F營造業(其他土木工程業),墜落、滾落,1,邱○○,,邱○○「農業設施新建工程」,工區鋼構結構體上,2268,桃園市大園區五青路151巷21號,桃園市政府勞動檢查處,2023,2023-06-15,是,06
193,18,,民群電器行,F營造業(冷凍、空調及管道工程業),感電,1,,,冷氣機之室外機檢查工作,彰化縣彰化市卦山路14號,2273,彰化縣彰化市卦山路14號,勞動部職業安全衛生署中區職業安全衛生中心,2023,2023-06-14,是,02
194,19,,鵬霖營造股份有限公司,F營造業(建築工程業),跌倒,1,騰泰建設股份有限公司,,騰泰建設新北市中和區民樂段878等37筆地號集合住宅新建工程,踏板,2267,新北市中和區員山路與員山路266巷,勞動部職業安全衛生署北區職業安全衛生中心,2023,2023-06-13,是,01
195,20,,瑞寶營造股份有限公司,F營造業(建築工程業),墜落、滾落,1,金首億建設股份有限公司,,金首億建設股份有限公司22戶新建工程,A棟2樓之外牆第2層施工架工作臺,2273,彰化縣溪湖鎮糖友街10號對面,勞動部職業安全衛生署中區職業安全衛生中心,2023,2023-06-08,是,02
196,21,,晟揚建設股份有限公司,L不動產業(不動產開發業),墜落、滾落,1,晟揚建設股份有限公司,,大豐案新建工程-油漆工程,高雄市三民區大豐二路和大昌二路口「大豐案新建工程」工地,2279,高雄市三民區大豐二路和大昌二路口,高雄市政府勞工局勞動檢查處,2023,2023-06-06,是,09
197,22,,蔡○,F營造業(機電、電信及電路設備安裝業),感電,1,,,,倉庫,2267,新北市八里區大堀湖路2號之16,新北市政府勞動檢查處,2023,2023-06-03,是,05
198,23,,台灣電力股份有限公司台中區營業處,D電力及燃氣供應業(電力供應業),被夾、被捲,1,,,,台8線臨37便道6.7公里處,,,臺中市勞動檢查處,2023,2023-06-03,否,07
199,24,,至成不織布股份有限公司,C製造業(不織布業),感電,1,,,,保修室,2267,新北市淡水區番子田32號,新北市政府勞動檢查處,2023,2023-05-31,是,05
200,25,11912102,台灣紙業股份有限公司新營紙廠,C製造業(化學原材料製造業),與高溫、低溫之接觸,1,,,,台灣紙業股份有限公司新營紙廠(臺南市新營區南紙里南紙街94號)鹽倉內之溶鹽池。,2278,臺南市新營區南紙里南紙街94號,勞動部職業安全衛生署南區職業安全衛生中心,2023,2023-05-30,是,03
